ID_CLIENTE,VALOR
4,317.96750000000003
9,95.0275
12,279.0575
15,282.40500000000003
19,101.0425
24,449.4725000000001
26,422.3125
28,142.39000000000001
29,276.6825
31,76.43
33,112.675
37,135.315
38,12.89
39,96.4875
40,4.7325
42,49.76
44,15.0525
46,65.9
47,43.0775
52,151.1475
54,77.20750000000001
55,187.56
57,87.55
59,425.8075
61,65.0675
63,221.665
64,513.1675
65,214.7775
67,58.2
69,85.525
72,328.3225
73,35.635
74,300.66999999999996
75,34.33
80,178.79
82,58.77
86,98.765
87,75.3125
90,49.1725
91,28.6175
92,77.4375
93,88.465
97,203.4725
101,265.735
103,151.005
104,378.02250000000004
108,208.66749999999996
109,160.2075
118,15.537500000000001
120,359.2425
122,52.144999999999996
123,40.345
125,153.7625
127,135.385
130,97.105
133,26.3125
138,653.4475
140,33.974999999999994
141,212.43
143,405.1
147,162.965
149,760.115
151,224.865
157,110.035
159,356.7975
160,66.1675
161,859.6650000000001
162,103.4125
163,10.18
164,239.24
165,19.38
172,222.9225
174,702.895
176,56.8725
179,97.345
182,151.6275
183,227.32
185,31.9925
186,76.265
187,114.47750000000002
188,85.8075
189,11.9575
191,10.54
194,120.71000000000001
195,74.535
196,74.965
201,759.7025
205,99.57000000000002
209,51.4875
211,109.88000000000001
212,517.415
216,16.822499999999998
219,6.975
223,41.472500000000004
226,194.2825
227,162.19
230,132.7175
231,361.5575
237,16.9075
239,112.9675
247,110.725
253,11.485
259,57.4825
261,14.2925
262,223.5525
264,39.7575
270,243.6875
272,105.50750000000001
274,514.31
275,106.3925
278,242.87
279,23.765
280,166.54
284,31.6425
295,237.07
299,53.8275
300,310.7125
303,161.265
304,231.3075
307,171.6275
311,107.82250000000002
313,25.3525
314,177.5075
318,66.045
321,64.98
323,4.1575
328,149.4475
332,12.0
334,22.585
338,209.9375
350,13.0
354,16.5075
363,520.715
367,31.585
368,36.11
371,76.095
382,239.9325
396,22.795
407,3994.415
409,451.565
412,383.2975
423,4.89
432,44.1275
439,378.2775
441,174.2375
444,347.99
448,530.3975
450,147.15
452,111.3275
453,451.12249999999995
455,65.595
460,283.59499999999997
461,216.82
462,23.045
464,861.885
465,22.415
467,209.66750000000002
468,17.8625
469,160.2525
472,232.5125
473,430.0849999999999
478,9.81
479,12.4475
482,16.42
483,28.1075
489,54.9375
490,68.125
492,17.3425
500,52.105000000000004
501,16.8425
503,74.19500000000001
505,44.135000000000005
508,147.98000000000002
509,95.6475
510,106.67
511,77.69
517,123.8825
519,240.9975
521,74.21249999999999
528,243.5325
529,333.40999999999997
531,3.28
532,32.2625
534,174.2025
536,221.62
538,98.75750000000001
541,295.275
544,59.260000000000005
545,461.9525
546,383.2575
548,24.150000000000002
549,277.4325
552,447.135
553,196.715
556,109.8725
558,7.6425
559,143.73749999999998
562,106.99499999999999
564,112.19499999999998
565,499.71
566,18.22
571,110.2175
575,507.605
576,320.8725
578,214.545
586,68.1925
591,94.39750000000001
594,4.26
596,179.345
602,106.88
607,50.5625
609,624.7875
611,146.7225
612,131.085
613,5.985
614,100.0575
615,1680.2625
616,57.620000000000005
620,563.295
624,221.195
627,1231.8425
630,706.3875
631,98.39
641,15.21
643,69.2775
646,236.15
647,58.4725
648,345.5025
651,36.8675
654,172.47999999999996
656,279.46500000000003
658,36.0475
659,189.475
661,505.7625
663,41.230000000000004
665,68.03999999999999
669,374.22249999999997
672,144.95
674,142.5275
681,411.83
684,224.9325
687,370.49499999999995
689,746.4075
691,778.2
693,334.155
694,240.4975
696,52.26
699,773.4025
700,375.69
705,185.4825
706,156.1025
711,134.785
715,171.3
718,42.395
719,412.28
720,39.730000000000004
722,65.045
725,34.7175
727,81.6575
729,133.0325
735,96.985
736,90.66
737,5.205
738,70.7775
739,15.13
741,67.8625
742,245.9475
743,627.9075
747,396.7425
749,541.8875
752,234.2725
754,68.8225
759,170.5
762,131.9625
764,87.4275
770,299.02
771,117.76500000000001
773,103.9725
774,43.295
775,585.8025
779,102.35249999999999
780,472.15749999999997
782,132.81
788,138.5675
789,226.08749999999998
790,111.57249999999999
793,64.375
794,191.42000000000002
796,17.2275
799,148.4275
800,133.19
804,151.8875
805,134.57
810,438.575
811,83.78999999999999
816,572.7775
818,326.225
824,89.405
828,130.9075
829,44.885
830,183.0675
831,34.1625
839,176.21999999999997
840,72.7675
841,87.955
844,969.4575
846,319.06
847,45.105000000000004
851,655.3675
852,27.564999999999998
855,461.89500000000004
860,5.7875
862,16.8675
864,466.4125
866,11.33
868,215.545
871,1221.16
872,159.245
874,66.045
878,62.8925
881,132.6175
886,846.32
888,167.2875
889,327.4475
890,388.67
891,62.910000000000004
892,57.4375
896,361.7275
897,12.65
903,176.2075
906,176.66750000000002
907,307.7525
909,157.1375
910,292.6
921,181.32
922,36.5275
924,418.195
925,42.435
927,64.89
929,196.585
934,101.0
936,37.955
943,24.345
946,212.1475
947,239.7875
948,176.57500000000002
950,66.075
951,392.4175
952,10.905
956,57.912499999999994
957,72.82
958,23.5225
959,118.13749999999999
960,20.02
967,31.955
972,83.1725
974,157.38
975,32.9775
987,295.4825
995,17.9875
997,89.845
998,12.34
999,208.965
1000,539.3475
1006,96.3325
1007,5.6850000000000005
1009,201.6125
1013,116.0275
1016,26.58
1019,372.54
1022,100.66
1028,9.2975
1032,368.56
1040,281.2975
1042,189.20750000000004
1043,286.88
1045,40.965
1047,1022.015
1048,234.9925
1050,86.7575
1052,401.555
1053,9.245
1056,7.17
1057,219.0175
1062,48.08749999999999
1063,161.2775
1068,222.19250000000002
1074,785.955
1079,149.1825
1081,619.0425
1082,24.305
1083,72.3175
1084,4.6
1092,143.4625
1097,104.45
1101,32.16
1102,25.105
1106,255.2
1113,87.99249999999999
1114,292.65999999999997
1115,17.4775
1118,186.95999999999998
1119,49.8575
1123,27.4625
1124,492.0725
1127,53.525
1133,49.33
1137,97.9025
1140,87.8625
1144,40.7725
1152,106.2825
1156,202.2225
1164,44.94
1167,29.295
1169,12.805
1170,37.415
1173,632.0075
1177,118.085
1178,460.17
1180,243.095
1190,16.225
1191,116.95500000000001
1193,67.875
1194,460.1125
1198,1072.59
1199,22.1025
1200,173.7625
1205,319.5475
1206,69.2725
1207,45.7625
1211,81.99000000000001
1215,79.3475
1216,60.36250000000001
1220,133.6725
1223,171.1775
1226,317.3974999999999
1239,8.3775
1240,35.6575
1243,168.1325
1245,382.30500000000006
1246,14.975
1247,26.11
1248,20.509999999999998
1250,6.79
1252,3.4425
1259,38.97
1262,74.4375
1263,70.7975
1264,13.2025
1267,43.8225
1269,242.445
1270,52.015
1275,100.8525
1280,241.69
1283,104.065
1284,39.21
1286,262.605
1287,1029.1399999999999
1289,14.235
1291,91.2475
1297,196.9025
1298,179.8975
1300,708.2075
1305,318.21
1306,18.39
1311,105.905
1313,170.22
1317,55.417500000000004
1318,1187.7475
1324,71.595
1325,43.620000000000005
1327,32.1825
1328,13.1825
1329,381.35249999999996
1331,44.0525
1337,14.7675
1341,15.0625
1342,56.5225
1344,115.53
1345,45.135
1347,270.7375
1348,147.4675
1350,779.0475
1351,62.735
1353,62.6425
1356,190.4525
1357,220.7725
1362,118.10000000000001
1366,113.51750000000001
1367,29.7975
1370,39.1575
1372,410.65500000000003
1377,42.6725
1378,14.8075
1380,1.79
1382,171.56
1384,112.6425
1385,282.44
1386,41.614999999999995
1388,157.3925
1390,316.33
1391,33.2625
1394,231.265
1403,505.75
1408,62.377500000000005
1409,74.61500000000001
1411,211.3525
1412,143.5975
1414,146.2675
1415,144.97
1417,214.73999999999998
1419,383.27750000000003
1421,64.5625
1423,32.7275
1427,8.1575
1430,68.455
1431,82.4725
1432,149.2025
1433,30.535
1435,89.70250000000001
1439,220.7525
1440,90.4075
1441,317.7675
1442,35.91
1443,234.195
1444,30.302499999999995
1445,1019.1125
1452,195.3775
1454,364.48749999999995
1456,155.79250000000002
1457,79.6275
1464,1636.2525
1465,925.8399999999999
1466,97.675
1468,42.485
1473,46.5875
1474,128.64
1477,3.03
1480,25.93
1481,60.2225
1486,423.135
1489,122.13
1491,8.115
1494,147.405
1499,6.9775
1504,360.6675
1508,69.025
1517,129.9325
1519,88.0775
1520,203.825
1521,94.4675
1523,137.925
1529,20.305
1533,32.33
1534,454.48249999999996
1537,46.91000000000001
1539,25.252499999999998
1546,56.540000000000006
1549,19.9025
1550,83.64750000000001
1552,119.525
1554,59.9475
1556,174.225
1558,603.5775
1559,25.7725
1560,105.2575
1571,24.86
1573,48.980000000000004
1578,585.4075
1579,110.2
1580,668.3575000000001
1582,2.19
1583,31.88
1587,63.707499999999996
1588,148.6675
1593,41.4075
1599,306.1575
1600,16.2325
1601,121.72749999999999
1603,89.34500000000001
1608,56.09
1613,86.63499999999999
1614,355.08
